123	application/vnd.lotus-1-2-3
ecelp9600	audio/vnd.nuera.ecelp9600
ecert	application/x-x509-email-cert
ecma	application/ecmascript
edm	application/vnd.novadigm.edm
edn	application/vnd.adobe.edn
edx	application/vnd.novadigm.edx
efif	application/vnd.picsel
ei6	application/vnd.pg.osasli
el	text/x-script.elisp
elc	application/x-elc
email	application/x-x509-email-cert
emf	image/x-emf
eml	message/rfc822
emma	application/emma+xml
enc	application/pre-encrypted
env	application/x-envoy
eol	audio/vnd.digital-winds
eot	application/vnd.ms-fontobject
eps	application/postscript
epub	application/epub+zip
erf	application/x-hsp-erf
es	audio/echospeech
es3	application/vnd.eszigno3+xml
esf	application/vnd.epson.esf
esl	audio/echospeech
et3	application/vnd.eszigno3+xml
etc	application/x-earthtime
etd	application/x-ebx
etf	image/x-etf
etx	text/x-setext
evy	application/envoy
exi	application/exi
ext	application/vnd.novadigm.ext
ez	application/andrew-inset
ez2	application/vnd.ezpix-album
ez3	application/vnd.ezpix-package
f	text/plain
f4v	video/mp4
f77	text/x-fortran
f90	text/plain
fbs	image/vnd.fastbidsheet
fcs	application/vnd.isac.fcs
fdf	application/vnd.fdf
fe_launch	application/vnd.denovo.fcselayout-link
fg5	application/vnd.fujitsu.oasysgp
fgd	application/x-director
fh	image/x-freehand
fh4	image/x-freehand
fh5	image/x-freehand
fh7	image/x-freehand
fhc	image/x-freehand
fif	image/fif
fig	application/x-xfig
flac	audio/flac
flc	video/flc
fli	video/fli
flo	image/florian
flv	video/x-flv
flw	application/vnd.kde.kivio
flx	text/vnd.fmi.flexstor
fly	text/vnd.fly
fm	application/x-maker
fmf	video/x-atomic3d-feature
fml	application/fml
fnc	application/vnd.frogans.fnc
for	text/plain
fpx	image/x-fpx
frame	application/vnd.framemaker
frl	application/freeloader
fs	application/X-FSRecipe
fsc	application/vnd.fsc.weblaunch
fst	image/vnd.fst
ftc	application/vnd.fluxtime.clip
fti	application/vnd.anser-web-funds-transfer-initiation
funk	audio/make
fvi	video/isivideo
fvt	video/vnd.fvt
fxp	application/vnd.adobe.fxp
fxpl	application/vnd.adobe.fxp
fzs	application/vnd.fuzzysheet
g	text/plain
g2w	application/vnd.geoplan
g3	image/g3fax
g3w	application/vnd.geospace
gac	application/vnd.groove-account
gdl	model/vnd.gdl
geo	application/vnd.dynageo
gex	application/vnd.geometry-explorer
ggb	application/vnd.geogebra.file
ggt	application/vnd.geogebra.tool
ghf	application/vnd.groove-help
gif	image/gif
gim	application/vnd.groove-identity-message
gl	video/gl
gmx	application/vnd.gmx
gnumeric	application/x-gnumeric
gph	application/vnd.flographit
gqf	application/vnd.grafeq
gqs	application/vnd.grafeq
gram	application/srgs
gre	application/vnd.geometry-explorer
grv	application/vnd.groove-injector
grxml	application/srgs+xml
gsd	audio/gsm
gsf	application/x-font-ghostscript
gsm	audio/gsm
gsp	application/x-gsp
gss	application/x-gss
gtar	application/x-gtar
gtm	application/vnd.groove-tool-message
gtw	model/vnd.gtw
gv	text/vnd.graphviz
gxt	application/vnd.geonext
gz	application/gzip
gzip	application/gzip
h	text/x-h
h261	video/h261
h263	video/h263
h264	video/h264
hal	application/vnd.hal+xml
hbci	application/vnd.hbci
hdf	application/x-hdf
hdml	text/x-hdml
help	application/x-helpfile
hgl	application/vnd.hp-hpgl
hh	text/x-h
hlb	text/x-script
hlp	application/hlp
hpg	application/vnd.hp-hpgl
hpgl	application/vnd.hp-hpgl
hpid	application/vnd.hp-hpid
hps	application/vnd.hp-hps
hqx	application/binhex
hta	application/hta
htc	text/x-component
htke	application/vnd.kenameaapp
htm	text/html
html	text/html
htmls	text/html
htt	text/webviewhtml
htx	text/html
hvd	application/vnd.yamaha.hv-dic
hvp	application/vnd.yamaha.hv-voice
hvs	application/vnd.yamaha.hv-script
i2g	application/vnd.intergeo
iad	application/x-iad
ica	application/x-ica
icc	application/vnd.iccprofile
ice	x-conference/x-cooltalk
icm	application/vnd.iccprofile
ico	image/x-icon
ics	text/calendar
idc	text/plain
ief	image/ief
iefs	image/ief
ifb	text/calendar
ifm	application/vnd.shana.informed.formdata
ifs	image/ifs
iges	model/iges
igl	application/vnd.igloader
igm	application/vnd.insors.igm
igs	model/iges
igx	application/vnd.micrografx.igx
iif	application/vnd.shana.informed.interchange
iii	application/x-iphone
ima	application/x-ima
imap	application/x-httpd-imap
imp	application/vnd.accpac.simply.imp
ims	application/vnd.ms-ims
in	text/plain
inf	application/inf
infopathxml	application/ms-infopath.xml
ins	application/x-NET-Install
ip	application/x-ip2
ipfix	application/ipfix
ipk	application/vnd.shana.informed.package
ips	application/ips
ipx	application/x-ipix
iqy	text/x-ms-iqy
irm	application/vnd.ibm.rights-management
irp	application/vnd.irepository.package+xml
isu	video/x-isvideo
it	audio/it
itms	application/x-itunes-itms
itp	application/vnd.shana.informed.formtemplate
itpc	application/x-itunes-itpc
iv	application/x-inventor
ivp	application/vnd.immervision-ivp
ivr	i-world/i-vrml
ivu	application/vnd.immervision-ivu
ivy	application/x-livescreen
iw4	image/x-iw44
iw44	image/x-iw44
jad	text/vnd.sun.j2me.app-descriptor
jam	audio/x-jam
jar	application/java-archive
jardiff	application/x-java-archive-diff
jav	text/plain
java	text/plain
jcm	application/x-java-commerce
jfif	image/jpeg
jfif-tbnl	image/jpeg
jisp	application/vnd.jisp
jlt	application/vnd.hp-jlyt
jnlp	application/x-java-jnlp-file
joda	application/vnd.joost.joda-archive
jp2	image/jp2
jpe	image/jpeg
jpeg	image/jpeg
jpg	image/jpeg
jpgm	video/jpm
jpgv	video/jpeg
jpm	video/jpm
jps	image/x-jps
js	text/ecmascript
jsc	application/x-javascript-config
json	application/json
jsp	text/html
jsu	application/x-javascript;charset
jut	image/jutvision
kar	audio/midi
karbon	application/vnd.kde.karbon
kfo	application/vnd.kde.kformula
kia	application/vnd.kidspiration
kml	application/vnd.google-earth.kml+xml
kmz	application/vnd.google-earth.kmz
kne	application/vnd.kinar
knp	application/vnd.kinar
kon	application/vnd.kde.kontour
kpr	application/vnd.kde.kpresenter
kpt	application/vnd.kde.kpresenter
ksh	application/x-ksh
ksp	application/vnd.kde.kspread
ktr	application/vnd.kahootz
ktx	image/ktx
ktz	application/vnd.kahootz
kwd	application/vnd.kde.kword
kwt	application/vnd.kde.kword
la	audio/nspaudio
lam	audio/x-liveaudio
lasxml	application/vnd.las.las+xml
latex	application/x-latex
lbd	application/vnd.llamagraphics.life-balance.desktop
lbe	application/vnd.llamagraphics.life-balance.exchange+xml
lcc	application/fastman
les	application/vnd.hhe.lesson-player
lha	application/lha
link66	application/vnd.route66.link66+xml
list	text/plain
list3820	application/vnd.ibm.modcap
listafp	application/vnd.ibm.modcap
lit	application/lit
lma	audio/nspaudio
log	text/plain
lostxml	application/lost+xml
lrm	application/vnd.ms-lrm
lsm	text/plain
lsp	text/lsp
lst	text/plain
lsx	text/x-la-asf
ltf	application/vnd.frogans.ltf
ltx	application/x-latex
lvp	audio/vnd.lucent.voice
lwp	application/x-wordpro
lzh	application/x-lzh
lzx	application/lzx
m	text/x-m
m13	application/x-msmediaview
m14	application/x-msmediaview
m1v	video/mpeg
m21	application/mp21
m2a	audio/mpeg
m2v	video/mpeg
m3a	audio/mpeg
m3u	audio/x-mpegurl
m3u8	application/vnd.apple.mpegurl
m4a	audio/x-m4a
m4b	audio/x-m4b
m4p	audio/x-m4p
m4u	video/vnd.mpegurl
m4v	video/mp4
ma	application/mathematica
mads	application/mads+xml
mag	application/vnd.ecowin.chart
maker	application/vnd.framemaker
man	application/x-troff-man
map	application/x-navimap
mar	text/plain
mathml	application/mathml+xml
mb	application/mathematica
mbd	application/mbedlet
mbk	application/vnd.mobius.mbk
mbox	application/mbox
mc$	application/x-magic-cap-package-1.0
mc1	application/vnd.medcalcdata
mcd	application/mcad
mcf	text/mcf
mcp	application/netmc
mcurl	text/vnd.curl.mcurl
mdb	application/mdb
mdi	image/vnd.ms-modi
me	application/x-troff-me
mesh	model/mesh
meta4	application/metalink4+xml
mets	application/mets+xml
mf	text/xml
mfm	application/vnd.mfmp
mfp	application/mirage
mgp	application/vnd.osgeo.mapguide.package
mgz	application/vnd.proteus.magazine
mht	message/rfc822
mhtml	message/rfc822
mi	application/x-mif
mid	audio/midi
midi	audio/midi
mif	application/x-mif
mime	www/mime
mj2	video/mj2
mjf	audio/x-vnd.audioexplosion.mjuicemediafile
mjp2	video/mj2
mjpg	video/x-motion-jpeg
mlp	application/vnd.dolby.mlp
mm	application/base64
mmd	application/vnd.chipnuts.karaoke-mmd
mme	application/base64
mmf	application/vnd.smaf
mmjb_mime	application/x-musicmatch-mmjb5.20detect
mmr	image/vnd.fujixerox.edmics-mmr
mmz	application/x-mmjb-mmz
mnd	audio/x-musicnet-download
mns	audio/x-musicnet-stream
mny	application/x-msmoney
mobi	application/x-mobipocket-ebook
moc	application/x-mocha
mocha	application/x-mocha
mod	audio/mod
mods	application/mods+xml
mol	chemical/x-mdl-molfile
moov	video/quicktime
mov	video/quicktime
movie	video/x-sgi-movie
mp2	audio/mpeg
mp21	application/mp21
mp2a	audio/mpeg
mp2v	video/x-mpeg2
mp3	audio/mpeg
mp4	video/mp4
mp4a	audio/mp4
mp4s	application/mp4
mp4v	video/mp4
mpa	audio/mpeg
mpc	application/x-project
mpe	video/mpeg
mpeg	video/mpeg
mpegv	video/mpeg
