123	application/vnd.lotus-1-2-3
talk	text/x-speech
tao	application/vnd.tao.intent-module-archive
tar	application/x-tar
tar.gz	application/x-gtar
targa	image/x-targa
tbk	application/x-tbook
tbp	application/x-timbuktu
tbt	application/timbuktu
tcap	application/vnd.3gpp2.tcap
tcl	application/x-tcl
tcsh	text/x-script.tcsh
teacher	application/vnd.smart.teacher
tei	application/tei+xml
teicorpus	application/tei+xml
tex	application/x-tex
texi	application/x-texinfo
texinfo	application/x-texinfo
text	text/plain
tfi	application/thraud+xml
tfm	application/x-tex-tfm
tgz	application/gzip
thmx	application/vnd.ms-officetheme
tif	image/tiff
tiff	image/tiff
tki	application/x-tkined
tkined	application/x-tkined
tlk	application/x-tlk
tmo	application/vnd.tmobile-livetv
tmv	application/x-Parable-Thing
torrent	application/x-bittorrent
tpl	application/vnd.groove-tool-template
tpt	application/vnd.trid.tpt
tr	application/x-troff
tra	application/vnd.trueapp
trm	application/x-msterminal
troff	application/x-troff
tsd	application/timestamped-data
tsi	audio/tsplayer
tsp	audio/tsplayer
tsq	application/timestamp-query
tsr	application/timestamp-reply
tsv	text/tab-separated-values
ttc	application/x-font-ttf
ttf	font/ttf
ttl	text/turtle
turbot	image/florian
twd	application/vnd.simtech-mindmapper
twds	application/vnd.simtech-mindmapper
txd	application/vnd.genomatix.tuxedo
txf	application/vnd.mobius.txf
txt	text/plain
u98	urdu/urdu98
ucert	application/x-x509-user-cert
udeb	application/x-debian-package
ufd	application/vnd.ufdl
ufdl	application/vnd.ufdl
uil	text/x-uil
uin	application/x-icq
uls	text/iuls
umj	application/vnd.umajin
uni	text/uri-list
unis	text/uri-list
unityweb	application/vnd.unity
unv	application/i-deas
uoml	application/vnd.uoml+xml
uri	text/uri-list
uris	text/uri-list
urls	text/uri-list
usercert	application/x-x509-user-cert
usr	application/x-x509-user-cert
ustar	multipart/x-ustar
utz	application/vnd.uiq.theme
uu	text/x-uuencode
uue	text/x-uuencode
uva	audio/vnd.dece.audio
uvd	application/vnd.dece.data
uvf	application/vnd.dece.data
uvg	image/vnd.dece.graphic
uvh	video/vnd.dece.hd
uvi	image/vnd.dece.graphic
uvm	video/vnd.dece.mobile
uvp	video/vnd.dece.pd
uvs	video/vnd.dece.sd
uvt	application/vnd.dece.ttml+xml
uvu	video/vnd.uvvu.mp4
uvv	video/vnd.dece.video
uvva	audio/vnd.dece.audio
uvvd	application/vnd.dece.data
uvvf	application/vnd.dece.data
uvvg	image/vnd.dece.graphic
uvvh	video/vnd.dece.hd
uvvi	image/vnd.dece.graphic
uvvm	video/vnd.dece.mobile
uvvp	video/vnd.dece.pd
uvvs	video/vnd.dece.sd
uvvt	application/vnd.dece.ttml+xml
uvvu	video/vnd.uvvu.mp4
uvvv	video/vnd.dece.video
uvvx	application/vnd.dece.unspecified
uvx	application/vnd.dece.unspecified
vbd	application/activexdocument
vbs	video/mpeg
vcd	application/x-cdlink
vcf	text/x-vcard
vcg	application/vnd.groove-vcard
vcs	text/x-vcalendar
vcx	application/vnd.vcx
vda	application/vda
vdo	video/vdo
vew	application/groupwise
vgm	video/x-videogram
vgp	video/x-videogram-plugin
vgx	video/x-videogram
vis	application/vnd.visionary
viv	video/vivo
vivo	video/vivo
vmd	application/vocaltec-media-desc
vmf	application/vocaltec-media-file
vmi	application/x-dreamcast-vms-info
vms	application/x-dreamcast-vms
voc	audio/voc
vor	application/vnd.stardivision.writer
vos	video/vosaic
vox	audio/voxware
vpa	application/vpa
vpg	application/x-vpeg005
vqe	audio/x-twinvq-plugin
vqf	audio/x-twinvq
vql	audio/x-twinvq
vrml	model/vrml
vrt	x-world/x-vrt
vsd	application/x-visio
vsf	application/vnd.vsf
vss	application/vnd.visio
vst	application/x-visio
vsw	application/x-visio
vts	workbook/formulaone
vtts	workbook/formulaone
vtu	model/vnd.vtu
vxml	application/voicexml+xml
w3d	application/x-director
w60	application/wordperfect6.0
w61	application/wordperfect6.1
w6w	application/msword
wad	application/x-doom
waf	plugin/wanimate
wan	plugin/wanimate
wav	audio/wav
wax	audio/x-ms-wax
wb1	application/x-qpro
wbmp	image/vnd.wap.wbmp
wbs	application/vnd.criticaltools.wbs+xml
wbxml	application/vnd.wap.wbxml
wcm	application/vnd.ms-works
wdb	application/vnd.ms-works
web	application/vnd.xara
weba	audio/webm
webm	video/webm
webp	image/webp
wg	application/vnd.pmi.widget
wgt	application/widget
wi	image/wavelet
wid	application/x-DemoShield
wis	application/x-InstallShield
wiz	application/msword
wk1	application/x-123
wk2	application/vnd.lotus-1-2-3
wk3	application/vnd.lotus-1-2-3
wk4	application/vnd.lotus-1-2-3
wks	application/vnd.lotus-1-2-3
wlt	application/x-mswallet
wm	video/x-ms-wm
wma	audio/x-ms-wma
wmd	application/x-ms-wmd
wmf	image/x-wmf
wml	x-world/x-vrml
wmlc	application/vnd.wap.wmlc
wmls	text/vnd.wap.wmlscript
wmlsc	application/vnd.wap.wmlscriptc
wmv	video/x-ms-wmv
wmx	video/x-ms-wmx
wmz	application/x-ms-wmz
woff	application/x-font-woff
word	application/msword
wp	application/wordperfect
wp5	application/wordperfect
wp6	application/wordperfect
wpd	application/x-wpwin
wpl	application/vnd.ms-wpl
wps	application/vnd.ms-works
wq1	application/x-lotus
wqd	application/vnd.wqd
wri	application/write
wrl	model/vrml
wrz	model/vrml
wsc	text/scriplet
wsdl	application/wsdl+xml
wspolicy	application/wspolicy+xml
wsrc	application/x-wais-source
wtb	application/vnd.webturbo
wtk	application/x-wintalk
wtls-ca-certificate	application/vnd.wap.wtls-ca-certificate
wtx	audio/wtx
wv	video/wavelet
wvx	video/x-ms-wvx
x3d	application/vnd.hzn-3d-crossword
xap	application/x-silverlight-app
xar	application/vnd.xara
xbap	application/x-ms-xbap
xbd	application/vnd.fujixerox.docuworks.binder
xbm	image/x-xbitmap
xdf	application/xcap-diff+xml
xdm	application/vnd.syncml.dm+xml
xdp	application/vnd.adobe.xdp+xml
xdr	video/x-videogram
xdssc	application/dssc+xml
xdw	application/vnd.fujixerox.docuworks
xenc	application/xenc+xml
xer	application/patch-ops-error+xml
xfd	application/vnd.adobe.xfd+xml
xfdf	application/vnd.adobe.xfdf
xfdl	application/vnd.xfdl
xgz	xgl/drawing
xht	application/xhtml+xml
xhtm	application/xhtml+xml
xhtml	application/xhtml+xml
xhvml	application/xv+xml
xif	image/vnd.xiff
xl	application/excel
xla	application/excel
xlam	application/vnd.ms-excel.addin.macroEnabled.12
xlb	application/excel
xlc	application/excel
xld	application/excel
xlk	application/excel
xll	application/excel
xlm	application/excel
xls	application/excel
xlsb	application/vnd.ms-excel.sheet.binary.macroEnabled.12
xlsm	application/vnd.ms-excel.sheet.macroenabled.12
xlsx	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
xlt	application/excel
xltm	application/vnd.ms-excel.template.macroenabled.12
xltx	application/vnd.openxmlformats-officedocument.spreadsheetml.template
xlv	application/excel
xlw	application/excel
xm	audio/xm
xml	application/xml
xmz	xgl/movie
xo	application/vnd.olpc-sugar
xop	application/xop+xml
xpi	application/x-xpinstall
xpix	application/x-vnd.ls-xpix
xpm	image/x-xbitmap
x-png	image/png
xpr	application/vnd.is-xpr
xps	application/vnd.ms-xpsdocument
xpw	application/vnd.intercon.formnet
xpx	application/vnd.intercon.formnet
xq	application/xquery
xql	application/xquery
xqm	application/xquery
xquery	application/xquery
xqy	application/xquery
xsd	text/xml
xsl	text/xml
xslt	application/xslt+xml
xsm	application/vnd.syncml+xml
xspf	application/xspf+xml
xsr	video/x-amt-showrun
xul	application/vnd.mozilla.xul+xml
xvm	application/xv+xml
xvml	application/xv+xml
xwd	image/x-xwindowdump
xyz	chemical/x-pdb
yang	application/yang
yin	application/yin+xml
z	application/compress
zaz	application/vnd.zzazz.deck+xml
zip	application/zip
zir	application/vnd.zul
zirz	application/vnd.zul
zlib	application/x-deflate
zpa	application/pcphoto
zsh	text/x-script.zsh
